epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,14820.1,0.53695,0.27388,0.84148,0.95937,0.8766,0.93887,0.72689,0.50324,0.26892,0.84959,0.000863839,0.000863839,0.000863839
75,14970.5,0.53968,0.27412,0.84155,0.92134,0.88798,0.93421,0.7244,0.51751,0.27388,0.85305,0.000852837,0.000852837,0.000852837
76,15187,0.53226,0.27131,0.84097,0.95541,0.87927,0.93833,0.72749,0.49661,0.26667,0.84678,0.000841835,0.000841835,0.000841835
77,15433.2,0.52382,0.26769,0.83878,0.93506,0.88929,0.93649,0.72329,0.49928,0.26155,0.84925,0.000830833,0.000830833,0.000830833
78,15571.5,0.52842,0.26832,0.84098,0.94347,0.88797,0.93919,0.72635,0.50578,0.26785,0.84709,0.000819831,0.000819831,0.000819831
79,15887.2,0.51976,0.26811,0.83381,0.95458,0.8797,0.9358,0.7279,0.51323,0.26919,0.84978,0.000808828,0.000808828,0.000808828
80,16166.5,0.52121,0.26561,0.83416,0.96191,0.8716,0.94048,0.73657,0.51084,0.26621,0.84924,0.000797826,0.000797826,0.000797826
81,16400.4,0.51623,0.26135,0.83168,0.95368,0.89513,0.94345,0.73103,0.5121,0.26158,0.85031,0.000786824,0.000786824,0.000786824
82,16552,0.52445,0.26498,0.83873,0.95174,0.89147,0.94398,0.74824,0.50158,0.26394,0.85141,0.000775822,0.000775822,0.000775822
83,16678.3,0.51489,0.26112,0.83323,0.938,0.9014,0.9397,0.74437,0.5079,0.26047,0.8478,0.00076482,0.00076482,0.00076482
84,16806.4,0.51505,0.26324,0.83253,0.9651,0.86907,0.9388,0.73315,0.50689,0.26369,0.84837,0.000753817,0.000753817,0.000753817
85,17043,0.51315,0.26066,0.83441,0.95557,0.88443,0.94385,0.72811,0.50055,0.26586,0.84985,0.000742815,0.000742815,0.000742815
86,17201.5,0.51455,0.25939,0.8363,0.94739,0.8819,0.94118,0.73554,0.50281,0.26163,0.84973,0.000731813,0.000731813,0.000731813
87,17390.9,0.49975,0.25194,0.83359,0.98054,0.88832,0.94573,0.73573,0.49887,0.26082,0.84833,0.000720811,0.000720811,0.000720811
88,17571.7,0.50541,0.25587,0.83329,0.97357,0.88639,0.93924,0.73577,0.5107,0.2627,0.85372,0.000709809,0.000709809,0.000709809
89,17663.7,0.50669,0.25715,0.83194,0.97737,0.85908,0.93145,0.72777,0.51709,0.26524,0.85144,0.000698806,0.000698806,0.000698806
90,17770,0.50238,0.25564,0.83427,0.95374,0.8894,0.9438,0.7412,0.50217,0.25826,0.8498,0.000687804,0.000687804,0.000687804
91,17907.9,0.49702,0.25401,0.83087,0.96092,0.88179,0.94335,0.73129,0.49992,0.26297,0.8472,0.000676802,0.000676802,0.000676802
92,18092.8,0.50037,0.25369,0.83144,0.95039,0.90851,0.94428,0.73353,0.50426,0.26307,0.85344,0.0006658,0.0006658,0.0006658
93,18242.2,0.49433,0.2545,0.82836,0.95687,0.89596,0.9392,0.73253,0.50082,0.26076,0.84854,0.000654798,0.000654798,0.000654798
94,19000.4,0.48475,0.24894,0.82683,0.97932,0.88383,0.94665,0.73743,0.50262,0.26378,0.85574,0.000643795,0.000643795,0.000643795
95,19138,0.48872,0.24911,0.82783,0.90132,0.93078,0.94186,0.72748,0.49999,0.261,0.85266,0.000632793,0.000632793,0.000632793
96,19294.5,0.48729,0.24873,0.82559,0.92525,0.90265,0.93792,0.72969,0.49827,0.25701,0.84996,0.000621791,0.000621791,0.000621791
97,19435.2,0.48891,0.24804,0.82666,0.96318,0.86416,0.93455,0.7342,0.49595,0.25723,0.84902,0.000610789,0.000610789,0.000610789
